Symbol,Company Name
AAPL,Apple Inc.
MSFT,Microsoft Corporation
AMZN,"Amazon.com, Inc."
WMT,Walmart Inc.
JPM," JP Morgan Chase & Co."
V,"Visa Inc."
UNH,UnitedHealth Group Incorporated
PG,Procter & Gamble Company (The)
HD,"Home Depot, Inc. (The)"
JNJ,"Johnson & Johnson"
CRM,"Salesforce, Inc."
KO,Coca-Cola Company (The)
CVX,Chevron Corporation
MRK,"Merck & Company, Inc."
CSCO,"Cisco Systems, Inc."
MCD,McDonald's Corporation
IBM,International Business Machines Corporation
AXP,American Express Company
CAT,"Caterpillar, Inc."
DIS,Walt Disney Company (The)
VZ,Verizon Communications Inc.
AMGN,Amgen Inc.
GS,"Goldman Sachs Group, Inc. (The)"
HON,Honeywell International Inc.
NKE,"Nike, Inc."
INTC,Intel Corporation
BA,Boeing Company (The)
MMM,"3M Company"
TRV,"The Travelers Companies, Inc."
DOW,Dow Inc.
